Étrépagny Airport,ZZZZ,"49.3052447948,1.6376701998",9999
Bailleau Armenonville Airport,ZZZZ,"48.5158004949,1.6399999998",9999
Igualada/Odena Airport,ZZZZ,"41.5856017952,1.6530599998",9999
Châteauroux-Déols,ZZZZ,"46.8615777949,1.7277423998",9999
Aérodrome Figeac - Livernon,ZZZZ,"44.6716287950,1.7888403998",9999
Aéroport Abbevile,ZZZZ,"50.1407353948,1.8260925997",9999
La Cerdanya Airport,ZZZZ,"42.3855857952,1.8648249997",9999
Gaillac Lisle Sur Tarn Airport,LFDG,"43.8838996951,1.8755599997",9999
Guéret St Laurent Airport,ZZZZ,"46.1791991950,1.9583299997",9999
Aérodrome de Revel-Montgey,ZZZZ,"43.4818615951,1.9739773997",9999
Chavenay-Villepreux,LFPX,"48.8422552949,1.9803359997",9999
Lamotte Beuvron Airport,ZZZZ,"47.6567000949,1.9891699997",9999
Plateau De La Calme Airport,ZZZZ,"42.5305556952,2.0041670997",9999
Sainte Léocadie Airport,ZZZZ,"42.4472007952,2.0108298997",9999
Coste Del Palm Airport,ZZZZ,"42.6083335952,2.0111109997",9999
Mont Llaret Roc Daude Airport,ZZZZ,"42.5805549952,2.0250000997",9999
Aérodrome René Dambon,ZZZZ,"45.7043135950,2.0348409997",9999
Aeroport de Pontoise - Cormeilles en Vexin,ZZZZ,"49.0963721948,2.0385748997",9999
Mont Llaret Airport,ZZZZ,"42.5750007952,2.0388888997",9999
Clos De Legua Airport,ZZZZ,"42.6541671952,2.0388888997",9999
Issoudun Le Fay Airport,LFEK,"46.8885993949,2.0413898997",9999
Hippopotame Airport,ZZZZ,"42.4777793952,2.0472218997",9999
Puivert Airport,ZZZZ,"42.9113997951,2.0561098997",9999
Vierzon Mereau,LFFV,"47.1937423949,2.0649835997",9999
Aérodrome de Saint-Cyr-l'École,ZZZZ,"48.8119086949,2.0686321997",9999
Aérodrome d'Egletons,ZZZZ,"45.4206105950,2.0686699997",9999
Aéroport d'Étampes-Mondésir,ZZZZ,"48.3793154949,2.0766448997",9999
Aeropuerto de Barcelona-El Prat,ZZZZ,"41.2996366952,2.0824459997",9999
Aeroport de Sabadell,ZZZZ,"41.5207089952,2.1043856997",9999
Aeroport de Beauvais-Tille,ZZZZ,"49.4575590948,2.1128059997",9999
Mont-Louis La-Quillane,LFNQ,"42.5432102952,2.1192758997",9999
Col de la Marrane Airport,ZZZZ,"42.6624984952,2.1666669997",9999
Pithiviers Airport,ZZZZ,"48.1571998949,2.1925000997",9999
Moussoulens Air Base,ZZZZ,"43.2797011951,2.2088498997",9999
Saint Omer Wizernes Airport,LFQN,"50.7294005948,2.2358300997",9999
Aéroport de Castres - Mazamet,ZZZZ,"43.5563599951,2.2893722997",9999
Aéroport de Carcassone-Salvaza,ZZZZ,"43.2146338951,2.3077118997",9999
Aérodrome de Persan-Beaumont,ZZZZ,"49.1649811948,2.3160013997",9999
Centre d'essais en vol de Brétigny-sur-Orge,ZZZZ,"48.5960998949,2.3322200997",9999
Aérodrome d'Enghien Moisselles,ZZZZ,"49.0454801949,2.3494500997",9999
Aéroport de Paris - Orly,ZZZZ,"48.7233038949,2.3627964997",9999
Aéroport de Bourges,ZZZZ,"47.0623427949,2.3687128997",9999
Châteauneuf Sur Cher Airport,LFFU,"46.8711013949,2.3769399997",9999
Paris Orly,LFPO,"48.7232823949,2.3795121997",9999
Aubigny-sur-Nère Airport,LFEH,"47.4742011949,2.3930499997",9999
Le Bourget,LFPB,"48.9570244949,2.4378907997",9999
Creil Air Base,LFPC,"49.2535018948,2.5191399996",9999
Aéroport Roissy-Charles-de-Gaulle,ZZZZ,"49.0144999949,2.5522999996",9999
Dunkerque les Moeres,LFAK,"51.0412149948,2.5532483996",9999
Montdidier Airport,ZZZZ,"49.6730994948,2.5691699996",9999
Aérodrome de Chelles-le-Pin,ZZZZ,"48.8951650949,2.6057257996",9999
Aérodrome de Lognes-Émerainville,ZZZZ,"48.8206401949,2.6255909996",9999
Koksijde Airbase,EBFN,"51.0929565948,2.6544424996",9999
Base aérienne de Melun-Villaroche,ZZZZ,"48.6053252949,2.6637889996",9999
Montargis Vimory Airport,LFEM,"47.9608029949,2.6847357996",9999
Aeroport Internacional de Son Sant Joan,ZZZZ,"39.5497750954,2.7330552996",9999
Aeroport de Girona,ZZZZ,"41.9014063952,2.7598015996",9999
Briare Chatillon,LFEI,"47.6143989949,2.7819399996",9999
Moret Episy Airport,ZZZZ,"48.3418998949,2.7994398996",9999
Arras Roclincourt Airport,LFQD,"50.3238718948,2.8030555996",9999
Compiègne Margny Airport,LFAD,"49.4347778948,2.8052579996",9999
Lens Benifontaine Airport,LFQL,"50.4664000948,2.8197199996",9999
Aérodrome de Meaux-Esbly,ZZZZ,"48.9221825949,2.8343472996",9999
Aéroport de Perpignan - Rivesaltes,ZZZZ,"42.7414526952,2.8711313996",9999
Ostend-Bruges International Airport,EBOS,"51.1999628948,2.8720985996",9999
Lurcy-Lévis Airport,ZZZZ,"46.7136001949,2.9458999996",9999
La Taillade Airport,ZZZZ,"44.8916663950,2.9569439996",9999
Vitry en Artois Airport,LFQS,"50.3382987948,2.9933299996",9999
Narbonne,ZZZZ,"43.1939611951,3.0516519996",9999
Lille/Marcq-en-Baroeul Airport,LFQO,"50.6871985948,3.0755600996",9999
Lille Lesquin International Airport,ZZZZ,"50.5652316948,3.0942300996",9999
Empuriabrava Airport,ZZZZ,"42.2599982952,3.1097218996",9999
Petra,ZZZZ,"39.5780835954,3.1273283996",9999
Zuienkerke Airfield,ZZZZ,"51.2563185948,3.1398153996",9999
Moorsele,EBMO,"50.8516236948,3.1479046996",9999
Aéroport de Clermont-Ferrand Auvergne,ZZZZ,"45.7868615950,3.1631176996",9999
La Ferté Gaucher Airport,ZZZZ,"48.7557982949,3.2766699995",9999
Soissons - Courmelles Airport,LFJS,"49.3434253948,3.2786251995",9999
Soissons-Cuffies Airport,ZZZZ,"49.4000014948,3.3169998995",9999
Aéroport de Béziers-Vias,ZZZZ,"43.3223342951,3.3552356995",9999
Brioude Beaumont Airport,LFHR,"45.3250007950,3.3591699995",9999
Aérodrome de Joigny,ZZZZ,"47.9931135949,3.3921041995",9999
Aérodrome de Vichy - Charmeil,ZZZZ,"46.1650334950,3.3998160995",9999
Pézenas Nizas Airport,ZZZZ,"43.5057982951,3.4136099995",9999
Florac Ste Enimie Aerodrome,ZZZZ,"44.2859804951,3.4597927995",9999
Ursel,EBUL,"51.1438862948,3.4729260995",9999
Amougies,EBAM,"50.7404815948,3.4836959995",9999
Auxerre-Branches,LFLA,"47.8444928949,3.4997639995",9999
Clamecy,LFJC,"47.4383010949,3.5086099995",9999
Laon-Couvron Air Base,ZZZZ,"49.6356090948,3.5516793995",9999
Laon - Chambry Airport,LFAF,"49.5957984948,3.6316699995",9999
Gliding Plane Area New Hamstede,ZZZZ,"51.7084909948,3.7105249995",9999
Chailley Airport,ZZZZ,"48.0807151949,3.7142371995",9999
Saint-Florentin Cheu Airport,LFGP,"47.9822005949,3.7783300995",9999
Saint-Martin-de-Londres Airport,ZZZZ,"43.8008002951,3.7824999995",9999
Ath/Isieres Airport,ZZZZ,"50.6641997948,3.8044399995",9999
Aérodrome de Saint-Ghislain,ZZZZ,"50.4586003948,3.8199143995",9999
Heliport,GECE,"51.3082890948,3.8624943995",9999
Geraardsbergen Overboelare,ZZZZ,"50.7546178948,3.8635659995",9999
Axel,ZZZZ,"51.2554306948,3.8910078995",9999
Avallon Airport,LFGE,"47.5031012949,3.8994400995",9999
Aéroport de Montpellier - Méditerranée,ZZZZ,"43.5788993951,3.9637052994",9999
Roanne Saint-Léger,ZZZZ,"46.0522576950,4.0024780994",9999
La Grand'combe Airport,ZZZZ,"44.2443999951,4.0122198994",9999
Base aérienne 112 Reims-Champagne,ZZZZ,"49.3120462948,4.0417158994",9999
Paray Le Monial Airport,LFGN,"46.4678000950,4.1350001994",9999
